,Command,Arguments,Summary
0,ACL LOAD,,Reload the ACLs from the configured ACL file
1,ACL SAVE,,Save the current ACL rules in the configured ACL file
2,ACL LIST,,List the current ACL rules in ACL config file format
3,ACL USERS,,List the username of all the configured ACL rules
4,ACL GETUSER,username,Get the rules for a specific ACL user
5,ACL SETUSER,"username
                    [rule [rule ...]]",Modify or create the rules for a specific ACL user
6,ACL DELUSER,username [username ...],Remove the specified ACL users and the associated rules
7,ACL CAT,[categoryname],List the ACL categories or the commands inside a category
8,ACL GENPASS,[bits],Generate a pseudorandom secure password to use for ACL users
9,ACL WHOAMI,,Return the name of the user associated to the current connection
10,ACL LOG,[count or RESET],List latest events denied because of ACLs in place
11,ACL HELP,,Show helpful text about the different subcommands
12,APPEND,"key
                    value",Append a value to a key
13,AUTH,"[username]
                    password",Authenticate to the server
14,BGREWRITEAOF,,Asynchronously rewrite the append-only file
15,BGSAVE,[SCHEDULE],Asynchronously save the dataset to disk
16,BITCOUNT,"key
                    [start end]",Count set bits in a string
17,BITFIELD,"key
                    [GET type offset]
                    [SET type offset value]
                    [INCRBY type offset increment]
                    [OVERFLOW WRAP|SAT|FAIL]",Perform arbitrary bitfield integer operations on strings
18,BITOP,"operation
                    destkey
                    key [key ...]",Perform bitwise operations between strings
19,BITPOS,"key
                    bit
                    [start]
                    [end]",Find first bit set or clear in a string
20,BLPOP,"key [key ...]
                    timeout","Remove and get the first element in a list, or block until one is available"
21,BRPOP,"key [key ...]
                    timeout","Remove and get the last element in a list, or block until one is available"
22,BRPOPLPUSH,"source
                    destination
                    timeout","Pop an element from a list, push it to another list and return it; or block until one is available"
23,BZPOPMIN,"key [key ...]
                    timeout","Remove and return the member with the lowest score from one or more sorted sets, or block until one is available"
24,BZPOPMAX,"key [key ...]
                    timeout","Remove and return the member with the highest score from one or more sorted sets, or block until one is available"
25,CLIENT CACHING,YES|NO,Instruct the server about tracking or not keys in the next request
26,CLIENT ID,,Returns the client ID for the current connection
27,CLIENT KILL,"[ip:port]
                    [ID client-id]
                    [TYPE normal|master|slave|pubsub]
                    [USER username]
                    [ADDR ip:port]
                    [SKIPME yes/no]",Kill the connection of a client
28,CLIENT LIST,[TYPE normal|master|replica|pubsub],Get the list of client connections
29,CLIENT GETNAME,,Get the current connection name
30,CLIENT GETREDIR,,Get tracking notifications redirection client ID if any
31,CLIENT PAUSE,timeout,Stop processing commands from clients for some time
32,CLIENT REPLY,ON|OFF|SKIP,Instruct the server whether to reply to commands
33,CLIENT SETNAME,connection-name,Set the current connection name
